SERIE	PAYS	COMMODITE
AAASR3021M0BP	COTE D'IVOIRE	01--Alimentation
AAASR3050M0BP	COTE D'IVOIRE	02--Boissons alcoolisees, Tabac et stupefiants
AAASR3022M0BP	COTE D'IVOIRE	03--Habillement
AAASR3024M0BP	COTE D'IVOIRE	04--Ameublement
AAASR3023M0BP	COTE D'IVOIRE	05--Logement
AAASR3025M0BP	COTE D'IVOIRE	06--Santé
AAASR3026M0BP	COTE D'IVOIRE	07--Transport
AAASR3051M0BP	COTE D'IVOIRE	08--Communication
AAASR3027M0BP	COTE D'IVOIRE	09--Loisirs
AAASR3028M0BP	COTE D'IVOIRE	10--Enseignement
AAASR3029M0BP	COTE D'IVOIRE	11--Hotels et restaurants
AAASR3030M0BP	COTE D'IVOIRE	12--Autres biens et services
AAASR3017M0BP	COTE D'IVOIRE	13--Ensemble
BBBSR3021M0BP	BENIN	01--Alimentation
BBBSR3050M0BP	BENIN	02--Boissons alcoolisees, Tabac et stupefiants
BBBSR3022M0BP	BENIN	03--Habillement
BBBSR3024M0BP	BENIN	04--Ameublement
BBBSR3023M0BP	BENIN	05--Logement
BBBSR3025M0BP	BENIN	06--Santé
BBBSR3026M0BP	BENIN	07--Transport
BBBSR3051M0BP	BENIN	08--Communication
BBBSR3027M0BP	BENIN	09--Loisirs
BBBSR3028M0BP	BENIN	10--Enseignement
BBBSR3029M0BP	BENIN	11--Hotels et restaurants
BBBSR3030M0BP	BENIN	12--Autres biens et services
BBBSR3017M0BP	BENIN	13--Ensemble
CCCSR3021M0BP	BURKINA FASO	01--Alimentation
CCCSR3050M0BP	BURKINA FASO	02--Boissons alcoolisees, Tabac et stupefiants
CCCSR3022M0BP	BURKINA FASO	03--Habillement
CCCSR3024M0BP	BURKINA FASO	04--Ameublement
CCCSR3023M0BP	BURKINA FASO	05--Logement
CCCSR3025M0BP	BURKINA FASO	06--Santé
CCCSR3026M0BP	BURKINA FASO	07--Transport
CCCSR3051M0BP	BURKINA FASO	08--Communication
