Country_Code;Country_Name_En;Country_Name_Fr;Income_group_En;Income_group_Fr;Region_En;Region_Fr
ABW;Aruba;Aruba;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
AFG;Afghanistan;Afghanistan;Low income;Faible revenu;South Asia;Asie du sud
AGO;Angola;Angola;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
ALB;Albania;Albanie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
AND;Andorra;Andorre;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
ARE;United Arab Emirates;Émirats arabes unis;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ARG;Argentina;Argentine;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
ARM;Armenia;Arménie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
ASM;American Samoa;Samoa américaines;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
ATG;Antigua and Barbuda;Antigua-et-Barbuda;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
AUS;Australia;Australie;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
AUT;Austria;Autriche;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
AZE;Azerbaijan;Azerbaïdjan;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BDI;Burundi;Burundi;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
BEL;Belgium;Belgique;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
BEN;Benin;Bénin;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
BFA;Burkina Faso;Burkina Faso;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
BGD;Bangladesh;Bangladesh;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
BGR;Bulgaria;Bulgarie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BHR;Bahrain;Bahreïn;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
BHS;Bahamas, The;Bahamas;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
BIH;Bosnia and Herzegovina;Bosnie-Herzégovine;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
