CODE	SOURCE	Date	Prix
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	2/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	3/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	4/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	5/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	6/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	7/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	8/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	9/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	10/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	11/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	12/1/2000	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	1/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	2/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	3/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	4/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	5/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	6/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	7/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	8/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	9/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	10/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	11/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	12/1/2001	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	1/1/2002	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	2/1/2002	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	3/1/2002	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	4/1/2002	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	5/1/2002	0
SSSSR3021M0BP	Institut National de la Statistique, Base 100=2014	6/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	2/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	3/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	4/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	5/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	6/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	7/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	8/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	9/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	10/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	11/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	12/1/2000	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	1/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	2/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	3/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	4/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	5/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	6/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	7/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	8/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	9/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	10/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	11/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	12/1/2001	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	1/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	2/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	3/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	4/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	5/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	6/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	7/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	8/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	9/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	10/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	11/1/2002	0
SSSSR3050M0BP	Institut National de la Statistique, Base 100=2014	12/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	2/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	3/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	4/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	5/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	6/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	7/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	8/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	9/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	10/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	11/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	12/1/2000	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	1/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	2/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	3/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	4/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	5/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	6/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	7/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	8/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	9/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	10/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	11/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	12/1/2001	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	1/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	2/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	3/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	4/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	5/1/2002	0
SSSSR3022M0BP	Institut National de la Statistique, Base 100=2014	6/1/2002	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	2/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	3/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	4/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	5/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	6/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	7/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	8/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	9/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	10/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	11/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	12/1/2000	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	1/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	2/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	3/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	4/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	5/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	6/1/2001	0
SSSSR3024M0BP	Institut National de la Statistique, Base 100=2014	7/1/2001	0
