"Province","ProgramGroup","ProgramType","ProgramDetail","Date","Value"
"Newfoundland and Labrador","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-01-01,0
"Newfoundland and Labrador","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Newfoundland and Labrador","Economic","Worker Program","Caregiver",2015-01-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Worker",2015-01-01,0
"Newfoundland and Labrador","Economic","Business","Self-Employed",2015-01-01,0
"Newfoundland and Labrador","Economic","Business","Start-up Business",2015-01-01,0
"Newfoundland and Labrador","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,25
"Newfoundland and Labrador","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,15
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Caregiver",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Worker",2015-01-01,5
"Prince Edward Island","Economic","Business","Self-Employed",2015-01-01,0
"Prince Edward Island","Economic","Business","Start-up Business",2015-01-01,0
"Prince Edward Island","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,30
"Prince Edward Island","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Nova Scotia","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-01-01,0
"Nova Scotia","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Nova Scotia","Economic","Worker Program","Caregiver",2015-01-01,0
